name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
israel,2021-05-01T00:00:00,22.6,22.6,-3.9,16.73,0,0,,,,,14.4,312,1015.4,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T01:00:00,22.5,22.5,-4.1,16.58,0,0,,,,,11.1,315,1015.3,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T02:00:00,22.6,22.6,-3.4,17.37,0,0,,,,,13.6,321,1014.5,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T03:00:00,22.6,22.6,-2.8,18.16,0,0,,,,,11.1,322,1014.5,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T04:00:00,22.5,22.5,-1.6,19.96,0,0,,,,,9,318,1014.5,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T05:00:00,22,22,-0.3,22.6,0,0,,,,,9.4,324,1015.2,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T06:00:00,21.6,21.6,0.4,24.37,0,0,,,,,10.4,307,1015.2,0,10,12,0,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T07:00:00,22.5,22.5,-0.6,21.46,0,0,,,,,8.6,294,1015.3,0,10,93,0.3,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T08:00:00,23.5,23.5,-1.1,19.48,0,0,,,,,11.5,294,1015.6,0,10,317,1.1,3,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T09:00:00,24.6,24.6,-0.6,18.92,0,0,,,,,10.8,307,1016.3,0,10,544,2,5,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T10:00:00,25.6,25.6,-0.6,17.8,0,0,,,,,11.1,294,1016.2,0,10,732,2.6,7,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T11:00:00,27.1,26.1,0.7,17.99,0,0,,,,,7.2,272,1016.1,0,10,791,2.8,8,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T12:00:00,27.7,26.5,2.1,19.19,0,0,,,,,10.4,4,1015.4,0,10,959,3.5,10,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-05-01T13:00:00,28.7,27.2,2.9,19.14,0,0,,,,,8.7,308,1015.1,0,10,981,3.5,10,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
