name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
israel,2021-09-01T00:00:00,21.2,21.2,18.4,83.97,0,0,,,,,12.2,302,1010,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T01:00:00,27,28.8,21,69.73,0,0,,,,,3.6,337.4,1010,50,10,0,,0,,Partially cloudy,partly-cloudy-night,"40180099999,LLBG"
israel,2021-09-01T02:00:00,27,28.8,21,69.73,0,0,,,,,3.6,338.4,1009,27.4,10,0,,0,,Partially cloudy,partly-cloudy-night,"40180099999,LLBG"
israel,2021-09-01T03:00:00,20.6,20.6,18.2,86.06,0,0,,,,,11.5,300,1009.3,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T04:00:00,20.2,20.2,17.9,86.57,0,0,,,,,12.2,294,1009.4,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T05:00:00,20.1,20.1,17.9,87.12,0,0,,,,,7.6,318,1009.3,0.2,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T06:00:00,20.1,20.1,17.9,87.12,0,0,,,,,6.8,338,1009.4,0.3,10,23.6,0.1,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T07:00:00,20.2,20.2,18.2,88.22,0,0,,,,,10.1,331,1010.1,0.1,10,31,0.1,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T08:00:00,21.7,21.7,17.9,78.96,0,0,,,,,7.9,331,1010.2,0.1,10,198,0.7,2,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T09:00:00,23.6,23.6,17.7,69.48,0,0,,,,,8.3,296,1010.1,0.1,10,405,1.5,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T10:00:00,25.6,25.6,15.4,53.3,0,0,,,,,7.9,323,1010,0.2,10,560,2,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T11:00:00,27.7,27.6,14.2,43.61,0,0,,,,,9,328,1009.8,0.1,10,688,2.5,7,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T12:00:00,29.2,29.2,15.7,44.02,0,0,,,,,7.2,320,1009.2,0.1,10,840,3,8,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T13:00:00,30.6,30.5,15.9,41.15,0,0,,,,,8.3,303,1009.1,0,10,868,3.1,9,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T14:00:00,31.2,30.9,15.4,38.51,0,0,,,,,7.2,279,1008.9,0,10,833,3,8,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T15:00:00,31.2,31.1,15.9,39.76,0,0,,,,,13.3,312,1008.2,0,10,736,2.6,7,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T16:00:00,30.7,31.5,18.1,46.99,0,0,,,,,10.1,297,1007.9,0,10,589,2.1,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T17:00:00,29.2,30.2,18.6,52.84,0,0,,,,,13,311,1007.8,0,10,423,1.5,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T18:00:00,27.1,27.8,17.2,54.69,0,0,,,,,13,303,1008,0,10,120,0.4,1,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T19:00:00,29,30.3,19,54.83,0,0,,,,,16.6,330,1008,0,10,42,0.2,0,,Clear,clear-day,"C0641,40180099999,LLBG"
israel,2021-09-01T20:00:00,23.2,23.2,17.7,71.18,0,0,,,,,13.7,297,1008.4,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T21:00:00,22.2,22.2,18.2,78.03,0,0,,,,,18.7,285,1009.2,0,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T22:00:00,27.5,29.4,20.8,66.78,0,0,,,,,5.3,11,1009.3,25.3,10,0,,0,,Partially cloudy,partly-cloudy-night,"40180099999,40190099999,LLBG,40179099999"
israel,2021-09-01T23:00:00,20.7,20.7,18.2,85.5,0,0,,,,,13.3,301,1009.3,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T00:00:00,20.7,20.7,17.9,83.93,0,0,,,,,13.6,302,1009.2,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T01:00:00,20.2,20.2,17.9,86.54,0,0,,,,,16.2,288,1009.1,0.2,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T02:00:00,20.1,20.1,17.9,87.11,0,0,,,,,19.8,291,1008.5,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T03:00:00,19.6,19.6,17.9,89.83,0,0,,,,,18.7,289,1009.1,0.2,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T04:00:00,19.6,19.6,17.6,88.15,0,0,,,,,19,290,1009,0.3,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T05:00:00,19.2,19.2,17.4,89.24,0,0,,,,,18,290,1009.1,0.1,10,0,,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T06:00:00,19.2,19.2,17.4,89.26,0,0,,,,,18,290,1009.1,0.1,10,23,0.1,0,,Clear,clear-night,"40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T07:00:00,19.6,19.6,17.7,88.73,0,0,,,,,12.2,281,1009.1,0.3,10,32,0.1,0,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T08:00:00,20.2,20.2,17.6,84.94,0,0,,,,,8.3,280,1009.2,0.1,10,189,0.7,2,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T09:00:00,22.2,22.2,16.9,71.87,0,0,,,,,9,289,1009.3,0.2,10,431,1.6,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T10:00:00,24.2,24.2,16.6,62.5,0,0,,,,,6.8,326,1009.3,0.2,10,569,2,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T11:00:00,26.1,26.1,14.9,50.09,0,0,,,,,6.5,262,1009.2,0.1,10,710,2.6,7,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T12:00:00,28.2,27.8,13.4,40.21,0,0,,,,,7.6,293,1008.9,0,11.4,855,3.1,9,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T13:00:00,29.6,29,13.7,37.81,0,0,,,,,9.7,332,1008.2,0,10,890,3.2,9,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T14:00:00,30.2,29.5,13.9,37.02,0,0,,,,,8,262,1008,0,10,852,3.1,9,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T15:00:00,30.7,29.8,13.4,34.84,0,0,,,,,9.7,316,1007.3,0,10,759,2.7,8,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T16:00:00,30.6,30.3,15.4,39.85,0,0,,,,,10.8,327,1007.1,0,11.4,607,2.2,6,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T17:00:00,29.2,29.2,15.9,44.59,0,0,,,,,9.7,321,1007.1,0,11.4,416,1.5,4,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
israel,2021-09-02T18:00:00,27.2,27.9,17.2,54.38,0,0,,,,,10.8,301,1007,0,10,209,0.8,2,,Clear,clear-day,"C0641,40183099999,40180099999,40190099999,LLBG,40179099999"
