name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
israel,2021-08-01T00:00:00,26.1,26.1,4.1,24.35,0,0,,0,0,,10.4,290,1004.8,0,9.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T01:00:00,26.1,26.1,5.1,26.1,0,0,,0,0,,14.4,289,1004.1,0,9.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T02:00:00,26.1,26.1,3.6,23.37,0,0,,0,0,,12.9,294,1004.1,0,9.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T03:00:00,25.6,25.6,3.6,24.06,0,0,,0,0,,11.8,287,1004,0,9.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T04:00:00,25.1,25.1,2.1,22.3,0,0,,0,0,,11.1,284,1004.2,0,9.6,0,,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T05:00:00,24.6,24.6,3.1,24.64,0,0,,0,0,,14,275,1004.2,0,9.6,0.3,0,0,,Clear,clear-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T06:00:00,25.1,25.1,2.2,22.43,0,0,,0,0,,12.9,276,1004.1,7.8,9.6,12,0,0,,Clear,clear-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T07:00:00,25.5,25.5,1.9,21.44,0,0,,0,0,,12.6,280,1005,78.7,9.6,66,0.2,1,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T08:00:00,27.1,26.2,2.2,19.94,0,0,,0,0,,9.7,280,1005.2,55.7,9.6,285,1,3,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T09:00:00,28.6,27.2,3.2,19.64,0,0,,0,0,,12.2,291,1004.9,44.4,9.6,486,1.7,5,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-08-01T10:00:00,30.1,28.2,3.7,18.75,0,0,,0,0,,9.3,251,1005.1,18,9.6,675,2.4,7,,Clear,clear-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
