name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
israel,2021-11-01T00:00:00,20.7,20.7,8.4,45.09,0,0,,0,0,,8.3,112,1013,59.2,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T01:00:00,20.6,20.6,7.6,42.99,0,0,,0,0,,9.4,98,1013.2,59.2,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T02:00:00,20.2,20.2,7.7,44.37,0,0,,0,0,,9.7,89,1013,67,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T03:00:00,20.7,20.7,6.9,40.84,0,0,,0,0,,7,106,1014,24.1,6.8,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG"
israel,2021-11-01T04:00:00,20.1,20.1,8.2,46.31,0,0,,0,0,,13.3,326,1015.3,30.7,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T05:00:00,18.2,18.2,10.4,60.39,0,0,,0,0,,11.6,332,1014.9,40.3,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T06:00:00,18.6,18.6,9.7,56.2,0,0,,0,0,,8.7,48,1015.2,45.3,9.6,8,0,0,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T07:00:00,18.7,18.7,9.2,53.96,0,0,,0,0,,12.9,59,1014.8,37.7,9.5,73,0.3,1,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T08:00:00,19.2,19.2,9.6,53.75,0.402,100,rain,0,0,,10.1,60,1015.1,47.9,9.5,173,0.6,2,,"Rain, Partially cloudy",rain,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T09:00:00,20.2,20.2,9.2,49.16,0,0,,0,0,,13,66,1014.7,49.7,9.5,188,0.7,2,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T10:00:00,21.6,21.6,8.7,43.58,0,0,,0,0,,12.6,84,1014,51.4,9.5,349,1.3,3,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
israel,2021-11-01T11:00:00,23.7,23.7,8.7,38.34,0,0,,0,0,,10.8,90,1012.9,41.2,9.5,628,2.3,6,,Partially cloudy,partly-cloudy-day,"C0641,40183099999,40180099999,40270099999,LLBG,40179099999"
